,Ano,Produção(t/ano),Importação(t/ano),Exportação(t/ano)
0,2000,7978,7297,3641
1,2001,7603,7200,5126
2,2002,11211,10457,7695
3,2003,10857,9025,6624
4,2004,12942,13581,7245
5,2005,9699,17300,4452
6,2006,10298,12913,5606
7,2007,11914,13761,7848
8,2008,12557,15937,6699
9,2009,11446,19846,5757
10,2010,11619,21104,4486
11,2011,11748,28782,3635
